Gap_ID,Timestamp,GPS_time,Latitude,Longitude,CO2_[ppm],PM1.0,PM2.5,PM4.0,PM10.0,Temp_[C],Hum_[%],VOC,NOx,Battery_[V],oled_on,CO2_sensirion_temp,CO2_sensirion_hum
1,2026-06-11 15:45:12,2026-06-11 14:09:31,28.554824,-17.863141,611,4.0,5.9,7.3,8.0,31.57,35.19,114.0,1.0,0.0,0,37.87,25.61
1,2026-06-11 15:45:21,INVALID_GPS_TIME,INVALID,INVALID,528,2.4,10.7,17.5,20.7,36.88,29.03,0.0,,3.45,0,37.66,28.18
1,2026-06-11 15:45:22,2026-06-11 14:09:41,28.554832,-17.863122,528,2.4,10.4,17.0,20.1,36.88,29.02,0.0,,3.4,0,37.66,28.18
2,2026-06-15 20:30:47,2026-06-15 18:55:05,28.754777,-18.004044,319,1.2,1.3,1.3,1.3,28.11,44.87,103.0,1.0,3.76,1,28.21,43.58
2,2026-06-15 20:30:56,2026-06-15 18:55:09,INVALID,INVALID,181,1.1,2.0,2.7,3.0,33.58,33.57,0.0,,3.69,0,27.97,44.28
2,2026-06-15 20:30:57,2026-06-15 18:55:16,INVALID,INVALID,279,1.1,1.9,2.5,2.7,33.58,33.58,0.0,,3.7,0,27.97,44.36
2,2026-06-15 20:30:58,2026-06-15 18:55:17,INVALID,INVALID,363,1.2,1.8,2.3,2.5,33.58,33.58,0.0,,3.69,0,28.03,44.41
2,2026-06-15 20:30:59,2026-06-15 18:55:18,INVALID,INVALID,363,1.2,1.7,2.2,2.4,33.58,33.58,0.0,,3.69,0,28.03,44.41
2,2026-06-15 20:31:00,2026-06-15 18:55:19,INVALID,INVALID,263,1.2,1.7,2.2,2.4,33.58,33.58,0.0,,3.69,0,28.11,44.34
2,2026-06-15 20:31:01,2026-06-15 18:55:20,INVALID,INVALID,263,1.1,1.7,2.0,2.2,33.58,33.59,0.0,0.0,3.69,0,28.11,44.34
2,2026-06-15 20:31:02,2026-06-15 18:55:21,INVALID,INVALID,314,1.1,1.6,1.9,2.1,33.57,33.59,0.0,0.0,3.7,0,28.05,44.28
2,2026-06-15 20:31:04,2026-06-15 18:55:22,INVALID,INVALID,314,1.1,1.6,1.9,2.0,33.57,33.6,0.0,0.0,3.7,0,28.05,44.28
2,2026-06-15 20:31:05,2026-06-15 18:55:23,INVALID,INVALID,290,1.1,1.5,1.8,1.9,33.56,33.6,0.0,0.0,3.7,0,28.16,44.22
2,2026-06-15 20:31:06,2026-06-15 18:55:24,INVALID,INVALID,290,1.1,1.4,1.7,1.8,33.56,33.61,0.0,0.0,3.7,0,28.16,44.22
2,2026-06-15 20:31:07,2026-06-15 18:55:25,INVALID,INVALID,315,1.1,1.4,1.6,1.7,33.56,33.61,0.0,0.0,3.7,0,28.25,44.14
2,2026-06-15 20:31:08,2026-06-15 18:55:26,INVALID,INVALID,315,1.1,1.4,1.7,1.8,33.56,33.61,0.0,0.0,3.7,0,28.25,44.14
2,2026-06-15 20:31:09,2026-06-15 18:55:27,INVALID,INVALID,348,1.1,1.6,1.9,2.1,33.54,33.61,0.0,0.0,3.7,0,28.22,44.04
2,2026-06-15 20:31:10,2026-06-15 18:55:29,INVALID,INVALID,348,1.1,1.6,1.9,2.1,33.53,33.61,0.0,0.0,3.68,0,28.22,44.04
2,2026-06-15 20:31:11,2026-06-15 18:55:30,INVALID,INVALID,379,1.1,1.5,1.9,2.0,33.52,33.62,0.0,0.0,3.7,0,28.25,43.97
2,2026-06-15 20:31:12,2026-06-15 18:55:31,INVALID,INVALID,379,1.1,1.5,1.8,2.0,33.48,33.63,0.0,0.0,3.69,0,28.25,43.97
2,2026-06-15 20:31:13,2026-06-15 18:55:31,INVALID,INVALID,381,1.1,1.5,1.8,1.9,33.44,33.63,0.0,0.0,3.7,0,28.31,43.88
2,2026-06-15 20:31:14,2026-06-15 18:55:31,INVALID,INVALID,381,1.1,1.5,1.8,1.9,33.4,33.65,0.0,0.0,3.69,0,28.31,43.88
2,2026-06-15 20:31:15,2026-06-15 18:55:31,INVALID,INVALID,318,1.1,1.4,1.7,1.9,33.33,33.68,0.0,0.0,3.7,0,28.28,43.86
2,2026-06-15 20:31:16,2026-06-15 18:55:31,INVALID,INVALID,318,1.0,1.4,1.7,1.8,33.22,33.73,0.0,0.0,3.69,0,28.28,43.86
2,2026-06-15 20:31:17,2026-06-15 18:55:31,INVALID,INVALID,381,1.0,1.4,1.6,1.8,33.08,33.79,0.0,0.0,3.7,0,28.31,43.84
2,2026-06-15 20:31:18,2026-06-15 18:55:37,28.656552,-17.767356,381,1.0,1.4,1.7,1.8,32.88,33.88,0.0,0.0,3.69,0,28.31,43.84
